Incident_ID,Source_Date,Year,Attack_Type,IdP_Context,SaaS_Context,Impact_Primary,Entry_Vector,Source_Org,OAuth_Flow,Token_Artifacts,Misconfig_1,Misconfig_2,Controls_1,Controls_2,Confidence,Source_URL
2023-07-Storm0558-01,2023-07-14,2023,Token forgery / signing-key abuse (forged JWT/bearer token),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,Provider / IdP-side key or credential compromise,Microsoft Threat Intelligence,Unknown / Not stated,Access token; signing key (MSA consumer signing key),Token validation / issuer trust failure,Credential / key material hygiene weak,Token validation / issuer-binding hardening,Credential / key material management (storage + rotation),High,https://www.microsoft.com/en-us/security/blog/2023/07/14/analysis-of-storm-0558-techniques-for-unauthorized-email-access/
2023-07-OAuthPhishApps-01,2023-12-12,2023,Malicious OAuth app / delegated consent abuse,Microsoft Entra ID (Azure AD),Microsoft 365,Email abuse (phishing/spam/BEC),Token stolen (endpoint/logs/session artifacts),Microsoft Threat Intelligence,Unknown / Not stated,Access token; Session cookie,OAuth app governance weak,User consent policy too permissive,Restrict who can register OAuth apps,User consent restrictions / risk-based approval,High,https://www.microsoft.com/en-us/security/blog/2023/12/12/threat-actors-misuse-oauth-applications-to-automate-financially-driven-attacks/
2023-12-Storm1286-01,2023-12-12,2023,Malicious OAuth app / delegated consent abuse,Microsoft Entra ID (Azure AD),Microsoft 365,Email abuse (phishing/spam/BEC),Compromised account,Microsoft Threat Intelligence,Unknown / Not stated,Access token,OAuth app governance weak,User consent policy too permissive,Restrict who can register OAuth apps,User consent restrictions / risk-based approval,High,https://www.microsoft.com/en-us/security/blog/2023/12/12/threat-actors-misuse-oauth-applications-to-automate-financially-driven-attacks/
2023-12-Storm1283-01,2023-12-12,2023,Workload identity abuse (domain-wide delegation/service principal),Microsoft Entra ID (Azure AD),Microsoft Azure,Resource hijacking,Compromised account,Microsoft Threat Intelligence,Client credentials,Client secret; Access token,Workload identity / domain-wide delegation risky,OAuth app governance weak,Domain-wide delegation / workload identity governance,Restrict who can register OAuth apps,High,https://www.microsoft.com/en-us/security/blog/2023/12/12/threat-actors-misuse-oauth-applications-to-automate-financially-driven-attacks/
2024-01-UNC2452-01,2024-01-25,2024,Workload identity abuse (domain-wide delegation/service principal),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,Compromised account,Microsoft Threat Intelligence,Client credentials,Access token,Workload identity / domain-wide delegation risky,Over-privileged scopes/roles,Domain-wide delegation / workload identity governance,Least-privilege scope policy (limit high-risk scopes),High,https://www.microsoft.com/en-us/security/blog/2024/01/25/midnight-blizzard-guidance-for-responders-on-nation-state-attack/
2024-09-UAIP-Merge-01,2024-09-03,2024,Cross-app OAuth attack (COAT/CORF) via integration platform,Google,Google Workspace,Data exfiltration,User interaction (phishing/social engineering),Obsidian Security,Authorization code,Access token,OAuth flow / client hardening gaps,Third-party integration governance weak,"OAuth client hardening (PKCE, redirect URI constraints, disable legacy flows)",,Medium,https://www.obsidiansecurity.com/blog/oauth-phishing-threat-exploiting-saas-integration-platforms
2025-02-CozyLarch-01,2025-02-13,2025,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Persistence / stealth access,User interaction (phishing/social engineering),Volexity,Device code,Access token,OAuth flow / client hardening gaps,Monitoring / audit visibility insufficient,Conditional Access / Policy-based access restrictions (session/device/location/flow),Detection on anomalous OAuth/API behavior,Medium,https://www.volexity.com/blog/2025/02/13/multiple-russian-threat-actors-targeting-microsoft-device-code-authentication/
2025-02-UTA0304-01,2025-02-13,2025,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,User interaction (phishing/social engineering),Volexity,Device code,Access token,OAuth flow / client hardening gaps,Monitoring / audit visibility insufficient,Conditional Access / Policy-based access restrictions (session/device/location/flow),Detection on anomalous OAuth/API behavior,High,https://www.volexity.com/blog/2025/02/13/multiple-russian-threat-actors-targeting-microsoft-device-code-authentication/
2025-02-UTA0307-01,2025-02-13,2025,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,User interaction (phishing/social engineering),Volexity,Device code,Access token,OAuth flow / client hardening gaps,Monitoring / audit visibility insufficient,Conditional Access / Policy-based access restrictions (session/device/location/flow),Detection on anomalous OAuth/API behavior,High,https://www.volexity.com/blog/2025/02/13/multiple-russian-threat-actors-targeting-microsoft-device-code-authentication/
2025-02-Storm2372-01,2025-02-13,2025,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,User interaction (phishing/social engineering),Microsoft Threat Intelligence,Device code,Access token; refresh token; Primary Refresh Token (PRT),OAuth flow / client hardening gaps,Monitoring / audit visibility insufficient,Conditional Access / Policy-based access restrictions (session/device/location/flow),Detection on anomalous OAuth/API behavior,High,https://www.microsoft.com/en-us/security/blog/2025/02/13/storm-2372-conducts-device-code-phishing-campaign/
2025-03-SilkTyphoon-01,2025-03-05,2025,Workload identity abuse (domain-wide delegation/service principal),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,Compromised account,Microsoft Threat Intelligence,Client credentials,Client secret; Access token,Workload identity / domain-wide delegation risky,Over-privileged scopes/roles,Domain-wide delegation / workload identity governance,Least-privilege scope policy (limit high-risk scopes),High,https://www.microsoft.com/en-us/security/blog/2025/03/05/silk-typhoon-targeting-it-supply-chain/
2025-05-Metallic-01,2025-05-22,2025,Compromised legitimate OAuth app (trusted integration abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Persistence / stealth access,Third-party integration compromise,CISA,Client credentials,Client secret; Access token,Third-party integration governance weak,Over-privileged scopes/roles,Periodic OAuth app access review (inventory + recertification),Least-privilege scope policy (limit high-risk scopes),Medium,https://www.cisa.gov/news-events/alerts/2025/05/22/advisory-update-cyber-threat-activity-targeting-commvaults-saas-cloud-application-metallic
